No,Category,Job,What is,what does,Responsibilities description,Job brief,Responsibilities,Requirements
11,Accounting,Budget Manager,,,Designing effective budget models for departments and the entire company Analyzing financial information (e.g. revenues  expenditures and cash management) to ensure all operations are within budget Presenting annual budgets to senior managers,We are looking for a responsible Budget Manager to develop our company’s budget and oversee its implementation. You will also review budget proposals and prepare financial documents and reports. Our ideal candidate holds a degree in Accounting or Finance and is familiar with legal regulations of accounting and budgeting. You should combine excellent numeracy skills with the ability to analyze and present complex data. To be successful in this role  you should be able to use critical thinking to create financial forecasts and make budgeting decisions. Ultimately  you should plan  evaluate  design and implement our company’s budget  ensuring business growth and compliance with the law. ,Design effective budget models for departments and the entire company Analyze financial information (e.g. revenues  expenditures and cash management) to ensure all operations are within budget Present annual budgets to senior managers Review budget requests for approval Forecast future budget needs Identify variances between actual and budgeted financial results at the end of each reporting period Suggest spending improvements that increase profits Review the company’s budget for compliance with legal regulations Ensure department managers meet budget submission deadlines Design and implement effective budgeting policies and procedures,Proven work experience as a Budget Manager or Budget Analyst Hands-on experience with accounting software and statistical packages Knowledge of MS Excel (specifically  advanced formulas  pivot tables and charts) Familiarity with forecasting methods and data analysis Excellent numeracy skills with an attention to detail Strong analytical skills Knowledge of accounting best practices and regulations Ability to explain budgeting and financial information in plain terms BSc/MSc degree in Accounting  Finance or relevant field
12,Accounting,Corporate Accountant,,,Analyzing data to support business decision-making Managing financial reporting  budgeting and forecasting Overseeing accounting procedures to ensure compliance with regulations,We are looking for a Corporate Accountant to prepare financial statements and oversee our budgeting and forecasting. We’ll rely on you to provide advice to support our company’s decision-making. You should be reliable and good at math  and be able to communicate effectively with senior management and various departments. We also want you to be detail-oriented  and possess sharp business acumen. ,Gather financial data and ledgers Consolidate and analyze financial statements and results Prepare budgets and monitor expenditures Handle monthly  quarterly and annual closings Manage periodical reporting Oversee external and internal audits Analyze finances to determine risks and create forecasts Advise management on how to craft effective business plans and resolve cost-related issues Supervise Junior Accountants,Proven experience as a Corporate Accountant Excellent knowledge of accounting regulations and practices In-depth experience in risk analysis  budgeting and forecasting Proficient in MS Office (especially Excel) and finance software An analytical mind with problem-solving aptitude Excellent communication skills Keen eye for detail Organizational and leadership skills BSc/BA in Accounting  Finance or related field; professional certification (e.g. CPA) is a plus
13,Accounting,Collection Specialist,,,Monitoring accounts to identify overdue payments Finding and contacting debtors to arrange debt payoffs Keeping accurate records and reporting on collection activity,We are looking for a competent Collection Specialist to contact clients and collect outstanding payments. You will struck a balance between maintaining trustful relationships  and ensuring timely payments. Our Collection Specialist should exhibit professionalism and trustworthiness. You should have excellent communication and negotiation skills  as well as an ability to work independently. ,Monitor accounts to identify outstanding debts Investigate historical data for each debt or bill Find and contact clients to ask about their overdue payments Take actions to encourage timely debt payments Process payments and refunds Resolve billing and customer credit issues Update account status records and collection efforts Report on collection activity and accounts receivable status,Proven experience as a Collection Specialist or similar role Knowledge of billing procedures and collection techniques (e.g. skip tracing) Familiarity with laws related to debt collection (e.g. FDCPA) Working knowledge of MS Office and databases Comfortable working with targets Patience and ability to manage stress Excellent communication skills (written and oral) Skilled in negotiation Problem-solving skills High school diploma; Associate’s/Bachelor’s degree is a plus
14,Accounting,Billing Analyst,,,Issuing accurate invoices Handling customer complaints and resolving billing issues Keeping updated records of accounts receivable,We are looking for a Billing Analyst to undertake billing operations in our accounting department. We’ll count on you to issue invoices with a high degree of accuracy to guarantee our revenue. Our Billing Analyst should have a keen eye for detail. You should also be comfortable working with little supervision to meet tight deadlines. Your goal will be to monitor accounts receivable and ensure we bill our customers correctly. ,Issue and distribute invoices Process new contracts and sales Collaborate with other departments to ensure billing accuracy Address customer complaints and questions Keep track of accounts receivable and transactions Assist with customer account reconciliations Prepare and present analytical reports Support monthly and quarterly audits and clean ups Resolve any issues or mistakes,Proven experience as a Billing Analyst or similar accounting role Good knowledge of electronic billing procedures Proficient in MS Office (especially Excel); familiarity with databases and SQL is an asset Excellent communication ability Organizational and time-management skills Attention to detail Teamwork skills Ability to work independently and meet tight deadlines BSc/BA in accounting or similar field is preferred
15,Accounting,Forensic Accountant,,,Reviewing financial documents to identify inaccuracies Analyzing financial data and tracing discrepancies Forecasting and preventing financial frauds,We are looking for a Forensic Accountant to audit our financial records for discrepancies and inaccuracies. Your main responsibilities include performing forensic research on  and analysis of  our company’s financial data to identify potential fraud and/or business revenue loss. To be successful in this role  you should combine keen investigative skills with knowledge of accounting procedures. You should also be able to organize financial evidence into detailed reports that will be helpful to attorneys and law officials. Ultimately  you should develop risk reduction and fraud prevention procedures to ensure accurate financial management for our company. ,Review financial documents to identify inaccuracies Analyze financial data and trace discrepancies Forecast and prevent financial frauds Report on revenue losses and damages from contract breaches Investigate complex business cases to minimize risk Provide litigation support and present findings to be used as trial evidence Perform regular financial record audits to ensure compliance with the law Ensure all accounting procedures follow legislation Keep organized files of all legal cases Attend court  when needed,Proven work experience as a Forensic Accountant  Certified Public Accountant (CPA) or relevant role Thorough knowledge of Generally Accepted Accounting Principles (GAAP) Experience with accounting and financial procedures Understanding of forensic auditing procedures Familiarity with accounting software and spreadsheets Strong investigative and analytical skills Excellent numeracy skills with an ability to spot inaccuracies The ability to handle confidential information BSc degree in Accounting or Finance  preferably with a Certified Fraud Examiner (CFE) or Certified Public Accountant (CPA) certification Additional qualification in Economic Crime Investigation or Law Enforcement will be a plus
16,Accounting,Bursar,,,Overseeing day-to-day cash management Managing accounts payable and receivable Keeping organized books of tuition fees and files of receipts,We are looking for a Bursar to oversee the day-to-day operation of our financial services  like collecting tuition fees and managing account receivable/payable. Your main responsibilities include management of our budget  procurement and payment of supplies and setup of our financial procedures. You will also undertake general and financial administrative tasks (e.g. managing employment contracts  ensuring compliance with the law and contacting local authorities.) To be successful in this role  you should be able to perform multiple tasks in a timely and effective manner  under minimum supervision. Ultimately  you should ensure the smooth financial and operational management of our school  in compliance with regulations. ,Oversee day-to-day cash management Manage accounts payable and receivable Keep organized books of tuition fees and files of receipts Prepare expense reports on a regular basis Manage annual budget Conduct cost and productivity analyses Review employment contracts and terms of services Design and update financial procedures Liaise with local authorities and school governors Report to the school general on performance and investment/funding opportunities,Proven work experience as a Bursar Computer literacy (MS Excel in particular) Strong financial management skills Knowledge of accounting procedures and best practices Familiarity with budget preparation and cash flow management Solid time management skills with an ability to prioritize work Excellent analytical skills and experience creating reports and presentations BS degree in Accounting  Business Management or relevant degree Certification in School Administration a plus
17,Accounting,Tax Accountant,,,Preparing tax payments Estimating and tracking tax returns Completing regular (quarterly and annual) tax reports,We are looking for a Tax Accountant to prepare tax payments and returns for our company. To succeed in this role  you should show interest in following changes to tax regulations and laws. Excellent time management skills are also essential  as you’ll have to ensure our company meets tight deadlines. Tax Accountant responsibilities also include organizing and maintaining records of tax payments. Ultimately  you should be able to recommend tax strategies that comply with laws and promote our company’s financial well-being. ,Prepare tax payments Estimate and track tax returns Complete quarterly and annual tax reports Organize and update the company’s tax database Recommend tax strategies that align with business goals Prepare necessary paperwork for tax payments and returns Share financial data with the accounting department Identify tax savings and suggest ways to increase profits Follow industry trends and track changes related to taxes Liaise with internal and external auditors Forecast tax predictions to senior managers,Proven work experience as a Tax Accountant  Tax Analyst or Tax Preparer Knowledge of accounting and bookkeeping procedures Familiarity with accounting software packages Computer literacy (MS Excel in particular) Excellent analytical and time management skills Strong numeracy skills Keen attention to detail BSc degree in Accounting  Finance or relevant subject; industry certification (e.g. CMA or CPA) is preferred
18,Accounting,Accounts Receivable Manager,,,Setting objectives for the account receivable team that align with the accounting department’s goals Monitoring processing of invoices Ensuring timely collection of payments,We are looking for an Accounts Receivable Manager to oversee the entire process of collecting payments from our company’s customers. The main responsibilities for this role include managing invoices  handling missed payments and supervising Accounts Receivable Clerks. Our ideal candidate is familiar with all accounting procedures and can manage daily financial transactions end-to-end. If you have previous experience managing a financial team  we’d like to meet you. Ultimately  you should be able to ensure accuracy and efficiency throughout our entire accounts receivable process. ,Set objectives for the accounts receivable team that align with the accounting department’s goals Monitor processing of invoices Ensure timely collection of payments Conduct credit checks Negotiate with clients in non-payment cases Prepare monthly  quarterly  annual and ad-hoc forecasting reports Organize records of invoices  bills and deposits Ensure high-quality invoicing and collection procedures that comply with the law Support Accounts Receivable Clerks on a daily basis and train new team members Ensure all team members follow the accounting principles Stay updated on industry and legislative changes,Proven work experience as an Accounts Receivable Manager or Supervisor Hands-on experience with accounting software Familiarity with advanced formulas in MS Excel Excellent analytical skills along with the ability to create and present detailed reports Ability to accurately process numerical data Team management and negotiation skills Problem-solving attitude Confidentiality BSc degree in Accounting or Finance CPA certification is a plus
19,Accounting,Cost Accountant,,,Collecting cost information and maintaining an expenses database Constructing data accumulation systems Determining fixed costs (e.g. salaries  rent and insurance),We are looking for a Cost Accountant to join our accounting department. You’ll be responsible for performing cost analyses and preparing budget reports. You should possess excellent analytical skills along with the ability to combine different data and calculate profit margins. Our ideal candidate should also be able to create detailed reports that present cost-effective solutions for our company. Ultimately  you should build updated databases and manage cost information to maximize profitability for our company. ,Collect cost information and maintain an expenses database Construct data accumulation systems Determine fixed costs (e.g. salaries  rent and insurance) Plan and record variable costs (e.g. purchases of raw material and operations costs) Review standard and actual costs for inaccuracies Prepare budgeting reports (for the company and for each department) Analyze and report profit margins Prepare (monthly  quarterly and annual) cost forecasts Assisting in month-end and year-end closing Identify and recommend cost-effective solutions,Proven work experience as a Cost Accountant  Cost Analyst  Accountant or similar role Thorough knowledge of accounting procedures In-depth understanding of Generally Accepted Accounting Principles (GAAP) Experience with accounting software  like FreshBooks and Zoho Computer literacy  MS Excel in particular (familiarity with VLOOKUPs and pivot tables) Excellent analytical skills with an attention to detail Strong time management skills Integrity  with an ability to handle confidential information BSc degree in Accounting  Finance or relevant study
20,Accounting,Certified Public Accountant (CPA),,,Organizing and updating accounting records as needed (digital and physical) Preparing and analyzing reports on transactions Performing regular  detailed audits to ensure accuracy in financial documents  expenditures and investments,We are looking for an experienced Certified Public Accountant (CPA) to join our accounting department. You’ll be responsible for preparing  reviewing and analyzing financial reports for our company. Our ideal candidate has in-depth knowledge of bookkeeping  auditing and budgeting procedures. You should also be able to monitor daily transactions and recommend ways we can improve our financial health. Previous work experience  along with a degree in Accounting and a CPA qualification is required for this role. Ultimately  you will play a vital role in our company’s financial operations  ensuring compliance with the law and accuracy in accounting ,Organize and update financial records as needed (digital and physical) Analyze transactions and prepare reports Perform regular  detailed audits to ensure accuracy in financial documents  expenditures and investments Forecast revenue and analyze profit margins Oversee ledger reconciliation and manage accounts payable/receivable Participate in budgeting processes Brief senior managers regularly on the company’s financial status Liaise with Tax Accountants to track tax payments and returns Monitor bookkeeping activities regularly Keep company financial information confidential Establish accounting policies and procedures Stay informed on industry developments and changes in regulations,Proven work experience as a Certified Public Accountant or Senior Accountant Thorough knowledge of accounting and financial procedures Understanding of Generally Accepted Accounting Principles (GAAP) Experience with accounting software  like FreshBooks and Zoho Advanced MS Excel knowledge (familiarity with formulas  VLOOKUPs and pivot tables) Excellent analytical skills with an attention to detail Integrity  with an ability to handle confidential information BSc degree in Accounting or Finance and a CPA certification
21,Accounting,Accounting Supervisor,,,Overseeing daily transactions (e.g. accounts payable/receivable  general ledger and bank reconciliations) Participating in tax audits and payroll Preparing budget reports,We are looking for an Accounting Supervisor to oversee our accounting department’s daily operations. You will work closely with a team of accountants to manage financial functions  including accounts payable/receivable  bank reconciliations and tax audits. Our ideal candidate uses strong analytical skills to create detailed financial reports and forecasts. To succeed in this role  you should also have a problem-solving attitude and be able to manage a team. Ultimately  you should be able to ensure our financial management is accurate and effective. ,Oversee daily transactions  including accounts payable/receivable  general ledger and bank reconciliations Participate in regular tax audits and payroll Prepare budgeting reports and forecast revenues Manage month-end and year-end closing Monitor the daily performance of the accounting department Organize financial data into useable information and maintain updated records Track the progress of financial and accounting objectives Establish accounting policies and procedures  aligned with company’s targets Ensure compliance with the law,Proven work experience as an Accounting Supervisor Experience with accounting software (e.g. FreshBooks and Zoho) Strong computer skills  MS Excel in particular (managing spreadsheets  creating charts and using advanced formulas) Solid knowledge of bookkeeping and accounting principles  laws and regulations Excellent analytical skills to manage large amounts of data Attention to detail and accuracy Team management skills Ability to prioritize work BS degree in Accounting or Finance Accounting certification (e.g. CMA or CPA) is a plus
22,Accounting,Senior Auditor,,,Oversee and direct a compliant and accurate auditing process Supervise and coach junior and staff auditors Ensure efficiency of internal controls,We are looking for a Senior Auditor to direct our auditing process. We’ll rely on you to ensure that our financial operations and controls meet standards and are error-free. Our Senior Auditor must be meticulous and analytical  with deep knowledge of auditing practices. We expect you to be reliable  with strong organizational skills  as well as expertise in risk management and compliance. ,Plan and oversee the auditing process Allocate responsibilities to junior and staff auditors Review team members’ work for accuracy and compliance Perform effective risk and control assessments Complete audits on time and submit reports to auditing manager Present audit findings and find ways to increase compliance and efficiency Coordinate periodical audits,Proven experience as an auditor In-depth understanding of auditing and control practices Updated knowledge of applicable laws and regulations Proficient in MS Office (especially Excel) and accounting software Strong mathematical and analytical skills Attention to detail Organizational and leadership abilities Integrity and reliability BSc/BA in Accounting or Finance; master’s degree and professional certification (e.g. CPA  CMA) are pluses
23,Accounting,Billing Coordinator,,,Collaborating with finance and sales professionals to maintain accounts receivable Compiling and process information such as prices  discounts  shipping rates etc. Ensuring customers are billed correctly for services offered,We are looking for a trustworthy Billing coordinator to ensure the company tracks and collects debts consistently and correctly. Your job will be important for safeguarding our revenues. Billing coordinators are equipped with knowledge of billing procedures and great attention to detail. Their analytical ability is a valuable asset  while their communication skills can make a difference for customer relationships. The goal is to ensure the company charges its customers appropriately and collects payments in a timely manner. ,Collaborate with finance and sales professionals to maintain accounts receivable Compile and process information such as prices  discounts  shipping rates etc. Ensure customers are billed correctly for services offered Issue invoices and distribute them electronically or by mail Communicate with customers to answer questions Resolve disagreements between the company and its creditors Request payment of pending debts in a firm yet considerate manner Negotiate payment arrangements when needed Keep accurate records (customer information  received payments etc.) Prepare and submit statements,Proven experience as billing coordinator or similar position Understanding of relevant laws and best practices Proficient in MS office and data entry; working knowledge of ERP software is a plus Comfortable with mathematics and financial data Excellent communication and interpersonal skills Great attention to detail Confidentiality and trustworthiness Excellent ability to organize and coordinate tasks BSc/BA in accounting or relevant field
24,Accounting,Billing Specialist,,,Receiving and sorting incoming payments with attention to credibility Managing the status of accounts and balances and identifying inconsistencies Issuing bills  receipts and invoices,We are looking for a competent Billing specialist to undertake a variety of financial and non-financial tasks in order to help guarantee the company’s revenues. You will handle the processing of incoming payments along with the issuing of necessary paperwork. ,Assume the responsibility of receiving and sorting incoming payments with attention to credibility Manage the status of accounts and balances and identify inconsistencies Issue and post bills  receipts and invoices Check the validity of debit accounts Update accounts receivable database with new accounts or missed payments Ensure all clients remain informed on their outstanding debts and deadlines Provide solutions to any relative problems of clients Write thorough reports on billing activity with clear and reliable data,Proven experience as Billing Specialist Adherence to laws and best practices in regards to dealing with customers and data Comfortable dealing with numbers and the processing of financial information Excellent knowledge of MS Office (particularly Excel) and ER software (JDE or other) Proficiency in English Results-driven and patient High degree of attention to detail and trustworthiness BSc degree in Finance  Accounting or BA
25,Accounting,Billing Clerk,,,Managing account balances to discover outstanding debts or other inconsistencies Collecting all information needed to calculate bills receivable Checking the data input in the accounting system to ensure accuracy of final bill,We are looking for a reliable Billing Clerk to perform tasks that will help us monitor our revenues. You will be responsible for keeping track of money owed to us by customers  preparing invoices and updating records. As a billing clerk  you must be accurate and reliable in handling accounts and documents. Being good at math and a high degree of organizational ability are essential due to the great amount of financial information. Since you will be using technology to expedite your work  a degree of computer knowledge is required. The goal is to contribute to the accurate preparation of bills receivable and safeguard the company’s income. ,Manage account balances to discover outstanding debts or other inconsistencies Collect all information needed to calculate bills receivable (order amounts  discount rates etc.) Check the data input in the accounting system to ensure accuracy of final bill Issue invoices and bills and sent them to customers through various channels (mail  e-mail etc.) Issue customer account statements periodically or whenever necessary Receive payments through various methods (cash  online payments etc.) and check for credibility Send reminders for payments and contact customers when assigned Update accounting records with new payments  balances  customer information etc. Answer questions and handle complaints from customers regarding bills Report on activity to upper management,Proven experience as billing clerk or general accounting experience Adherence to laws and confidentiality guidelines Proficient in MS Office (especially Excel); Working knowledge of relevant software (e.g. Quickbooks) will be appreciated Excellent math ability Good organizational skills Excellent communication skills High school diploma; further education will be a plus
